id,node,batchsize,delay,tx,tps,send,round
7,16,1000,1.18806,50000,42085.41656145313,60,0
7,16,1000,1.1507690000000002,50000,43449.20657403875,100,1
7,16,1000,2.386018,100000,41910.83218986613,70,2
7,16,1000,2.353123,100000,42496.71606626598,70,3
7,16,1000,3.5569870000000003,150000,42170.52241124299,60,4
7,16,1000,3.5117329999999995,150000,42713.95348108755,60,5
7,16,1000,4.781539,200000,41827.53711723359,60,6
12,16,1000,1.227521,50000,40732.50070670888,60,0
12,16,1000,1.1508260000000001,50000,43447.05455038381,60,1
12,16,1000,2.4249669999999997,100000,41237.67457454061,120,2
12,16,1000,2.354057,100000,42479.854990767,70,3
12,16,1000,3.5952279999999996,150000,41721.971457721185,60,4
12,16,1000,3.5122110000000006,150000,42708.14025694925,60,5
12,16,1000,4.811211999999999,200000,41569.567086214454,50,6
6,16,1000,1.508241,50000,33151.20063703347,60,0
6,16,1000,1.149997,50000,43478.3742914112,60,1
6,16,1000,2.706156,100000,36952.784687948515,60,2
6,16,1000,2.352582,100000,42506.48861548716,70,3
6,16,1000,3.87685,150000,38691.20548899235,70,4
6,16,1000,3.5108119999999996,150000,42725.15873820644,50,5
6,16,1000,5.09812,200000,39230.14758381521,60,6
1,16,1000,1.459728,50000,34252.95671522366,61,0
1,16,1000,1.1592230000000001,50000,43132.339506721306,61,1
1,16,1000,2.6504209999999997,100000,37729.85499284831,67,2
1,16,1000,2.361822,100000,42340.193291450414,70,3
1,16,1000,3.820543,150000,39261.43482745777,109,4
1,16,1000,3.519488,150000,42619.83561245272,58,5
1,16,1000,5.036853,200000,39707.333130428866,58,6
0,16,1000,1.804543,50000,27707.846252486088,60,0
0,16,1000,1.137364,50000,43961.29998839422,60,1
0,16,1000,3.003076,100000,33299.190563275784,60,2
0,16,1000,2.3402760000000002,100000,42730.00278599618,70,3
0,16,1000,4.174509,150000,35932.369531362856,70,4
0,16,1000,3.4969480000000006,150000,42894.54690204143,50,5
0,16,1000,5.392043999999999,200000,37091.68545360535,60,6
3,16,1000,1.527497,50000,32733.288510550265,60,0
3,16,1000,1.15045,50000,43461.25429179886,60,1
3,16,1000,2.726268,100000,36680.17964484783,60,2
3,16,1000,2.352271,100000,42512.10851130673,70,3
3,16,1000,3.897583,150000,38485.38953500157,70,4
3,16,1000,3.5099980000000004,150000,42735.06708550831,50,5
3,16,1000,5.114570999999999,200000,39103.963949273566,60,6
15,16,1000,1.086757,50000,46008.44531022115,60,0
15,16,1000,1.1518410000000001,50000,43408.769092261864,60,1
15,16,1000,2.285704,100000,43750.196875885944,60,2
15,16,1000,2.351946,100000,42517.982980901776,70,3
15,16,1000,3.4573970000000003,150000,43385.24039906322,70,4
15,16,1000,3.510237,150000,42732.157401337856,110,5
15,16,1000,4.67554,200000,42775.80771418916,50,6
11,16,1000,1.557415,50000,32104.48082238838,60,0
11,16,1000,1.147642,50000,43567.593378422884,60,1
11,16,1000,2.7551110000000003,100000,36296.17826650178,60,2
11,16,1000,2.349857,100000,42555.78105391094,70,3
11,16,1000,3.926633,150000,38200.66708551576,70,4
11,16,1000,3.5081040000000003,150000,42758.139439423685,50,5
11,16,1000,5.143398,200000,38884.79950414103,110,6
10,16,1000,1.130148,50000,44241.99308409164,60,0
10,16,1000,1.1509500000000001,50000,43442.37369129849,60,1
10,16,1000,2.3281029999999996,100000,42953.42602969027,60,2
10,16,1000,2.35313,100000,42496.58964868069,70,3
10,16,1000,3.5023599999999995,150000,42828.26437031031,70,4
10,16,1000,3.5084240000000007,150000,42754.239510389845,50,5
10,16,1000,4.718554999999999,200000,42385.85753477495,60,6
2,16,1000,1.809822,50000,27627.026304244286,110,0
2,16,1000,1.1494870000000001,50000,43497.664610387066,61,1
2,16,1000,3.029314,100000,33010.774056436545,67,2
2,16,1000,2.3389080000000004,100000,42754.99506607356,70,3
2,16,1000,4.191419,150000,35787.402786502615,61,4
2,16,1000,3.497159,150000,42891.958872902265,58,5
2,16,1000,5.4079619999999995,200000,36982.50838301009,58,6
13,16,1000,1.940118,50000,25771.628323638048,61,0
13,16,1000,1.1517309999999998,50000,43412.914994907675,61,1
13,16,1000,3.1373100000000003,100000,31874.440205143896,67,2
13,16,1000,2.3539759999999994,100000,42481.31671690792,70,3
13,16,1000,4.309544000000001,150000,34806.466763072836,61,4
13,16,1000,3.5179649999999993,150000,42638.286623090346,58,5
13,16,1000,5.52052,200000,36228.471230970994,58,6
14,16,1000,1.587801,50000,31490.092272268375,60,0
14,16,1000,1.150888,50000,43444.71399475884,60,1
14,16,1000,2.7870530000000002,100000,35880.19316460792,60,2
14,16,1000,2.3517199999999994,100000,42522.06895378703,70,3
14,16,1000,3.9597160000000002,150000,37881.504633160555,70,4
14,16,1000,3.509111,150000,42745.86925292474,50,5
14,16,1000,5.176027,200000,38639.67479304107,60,6
9,16,1000,1.362276,50000,36703.28186065085,61,0
9,16,1000,1.150166,50000,43471.985782921765,61,1
9,16,1000,2.559217,100000,39074.45128724919,67,2
9,16,1000,2.3525190000000005,100000,42507.62693096208,70,3
9,16,1000,3.7305159999999993,150000,40208.914798917904,61,4
9,16,1000,3.513537000000001,150000,42692.02231255853,58,5
9,16,1000,4.944660999999998,200000,40447.666685340024,58,6
8,16,1000,1.887146,50000,26495.035360274192,60,0
8,16,1000,1.1508099999999999,50000,43447.658605677745,60,1
8,16,1000,3.0850150000000003,100000,32414.753250794565,60,2
8,16,1000,2.3532199999999994,100000,42494.964346724926,130,3
8,16,1000,4.256563000000001,150000,35239.699259707886,60,4
8,16,1000,3.5111659999999993,150000,42720.85113606136,60,5
8,16,1000,5.472816,200000,36544.25802000287,50,6
4,16,1000,1.218321,50000,41040.087136313006,60,0
4,16,1000,1.1534719999999998,50000,43347.389446817964,60,1
4,16,1000,2.41357,100000,41432.40096620359,60,2
4,16,1000,2.3557819999999996,100000,42448.74950228842,70,3
4,16,1000,3.595155,150000,41722.81862673515,70,4
4,16,1000,3.511958,150000,42711.216933687705,50,5
4,16,1000,4.802628,200000,41643.86664967597,60,6
5,16,1000,1.802783,50000,27734.896546062395,60,0
5,16,1000,1.150759,50000,43449.58414403015,60,1
5,16,1000,3.000496,100000,33327.82313324197,60,2
5,16,1000,2.3532779999999995,100000,42493.91699578206,70,3
5,16,1000,4.171841000000001,150000,35955.34920913812,70,4
5,16,1000,3.516717999999999,150000,42653.405817583334,50,5
5,16,1000,5.385441,200000,37137.16295471438,60,6
7,16,2000,2.725141,100000,36695.34897460352,60,0
7,16,2000,2.110011,100000,47393.11785578369,100,1
7,16,2000,4.602694,200000,43452.812635382674,70,2
7,16,2000,4.289805000000001,200000,46622.16580940158,70,3
7,16,2000,6.82593,300000,43950.05515731923,60,4
7,16,2000,6.289284,300000,47700.18335950483,60,5
7,16,2000,9.016039,400000,44365.380407072334,60,6
12,16,2000,2.927441,100000,34159.5270408524,60,0
12,16,2000,2.1103449999999997,100000,47385.61704365874,60,1
12,16,2000,4.8048910000000005,200000,41624.25328691119,120,2
12,16,2000,4.28939,200000,46626.676520437635,70,3
12,16,2000,7.0288010000000005,300000,42681.532739367634,60,4
