id,node,batchsize,delay,tx,tps,send,round
7,16,1000,1.18806,50000,42085.41656145313,60,0
7,16,1000,1.1507690000000002,50000,43449.20657403875,100,1
12,16,1000,1.227521,50000,40732.50070670888,60,0
12,16,1000,1.1508260000000001,50000,43447.05455038381,60,1
6,16,1000,1.508241,50000,33151.20063703347,60,0
6,16,1000,1.149997,50000,43478.3742914112,60,1
1,16,1000,1.459728,50000,34252.95671522366,61,0
1,16,1000,1.1592230000000001,50000,43132.339506721306,61,1
0,16,1000,1.804543,50000,27707.846252486088,60,0
0,16,1000,1.137364,50000,43961.29998839422,60,1
3,16,1000,1.527497,50000,32733.288510550265,60,0
3,16,1000,1.15045,50000,43461.25429179886,60,1
15,16,1000,1.086757,50000,46008.44531022115,60,0
15,16,1000,1.1518410000000001,50000,43408.769092261864,60,1
11,16,1000,1.557415,50000,32104.48082238838,60,0
11,16,1000,1.147642,50000,43567.593378422884,60,1
10,16,1000,1.130148,50000,44241.99308409164,60,0
10,16,1000,1.1509500000000001,50000,43442.37369129849,60,1
2,16,1000,1.809822,50000,27627.026304244286,110,0
2,16,1000,1.1494870000000001,50000,43497.664610387066,61,1
13,16,1000,1.940118,50000,25771.628323638048,61,0
13,16,1000,1.1517309999999998,50000,43412.914994907675,61,1
14,16,1000,1.587801,50000,31490.092272268375,60,0
14,16,1000,1.150888,50000,43444.71399475884,60,1
9,16,1000,1.362276,50000,36703.28186065085,61,0
9,16,1000,1.150166,50000,43471.985782921765,61,1
8,16,1000,1.887146,50000,26495.035360274192,60,0
8,16,1000,1.1508099999999999,50000,43447.658605677745,60,1
4,16,1000,1.218321,50000,41040.087136313006,60,0
4,16,1000,1.1534719999999998,50000,43347.389446817964,60,1
5,16,1000,1.802783,50000,27734.896546062395,60,0
5,16,1000,1.150759,50000,43449.58414403015,60,1
7,16,2000,2.725141,100000,36695.34897460352,60,0
7,16,2000,2.110011,100000,47393.11785578369,100,1
12,16,2000,2.927441,100000,34159.5270408524,60,0
12,16,2000,2.1103449999999997,100000,47385.61704365874,60,1
6,16,2000,2.076469,100000,48158.67706187764,60,0
6,16,2000,2.109232,100000,47410.621496355074,60,1
1,16,2000,2.894939,100000,34543.04218499941,61,0
1,16,2000,2.118469,100000,47203.90055271047,61,1
0,16,2000,2.231538,100000,44812.143015265705,60,0
0,16,2000,2.0990860000000002,100000,47639.78226713912,60,1
3,16,2000,2.158246,100000,46333.9211563464,60,0
3,16,2000,2.1092880000000003,100000,47409.362780236734,60,1
15,16,2000,1.935324,100000,51670.93468587172,60,0
15,16,2000,2.1092419999999996,100000,47410.39672071769,60,1
11,16,2000,2.321271,100000,43079.847204397935,60,0
11,16,2000,2.108826,100000,47419.74918746259,60,1
10,16,2000,2.655278,100000,37660.8400325691,60,0
10,16,2000,2.108238,100000,47432.97483490953,60,1
2,16,2000,2.457519,100000,40691.445315377016,109,0
2,16,2000,2.1098510000000004,100000,47396.711900508606,61,1
13,16,2000,2.626072,100000,38079.68707636348,61,0
13,16,2000,2.1076709999999994,100000,47445.73512659235,61,1
14,16,2000,2.1853,100000,45760.307509266466,60,0
14,16,2000,2.108257,100000,47432.547360212724,60,1
9,16,2000,1.980927,100000,50481.41602391203,61,0
9,16,2000,2.1090039999999997,100000,47415.746959228156,61,1
8,16,2000,2.422083,100000,41286.776712441315,60,0
8,16,2000,2.112727,100000,47332.19199641033,60,1
4,16,2000,2.72142,100000,36745.52255807629,60,0
4,16,2000,2.109026,100000,47415.25234871452,60,1
5,16,2000,2.343697,100000,42667.63152404086,60,0
5,16,2000,2.108889,100000,47418.33259123643,60,1
7,16,3000,3.091386,150000,48521.9251170834,60,0
7,16,3000,3.199441,150000,46883.18990723692,110,1
12,16,3000,3.504305,150000,42804.49333034653,60,0
12,16,3000,3.199365,150000,46884.30360399642,60,1
6,16,3000,2.552687,150000,58761.6108046149,60,0
6,16,3000,3.1999210000000002,150000,46876.15725513223,60,1
1,16,3000,3.427103,150000,43768.74578908192,61,0
1,16,3000,3.201727,150000,46849.715794007425,61,1
0,16,3000,2.821332,150000,53166.37673269222,60,0
0,16,3000,3.184209,150000,47107.460596964585,60,1
3,16,3000,2.717,150000,55207.949944792046,60,0
3,16,3000,3.2002409999999997,150000,46871.4699924162,60,1
15,16,3000,2.547521,150000,58880.77075713998,60,0
15,16,3000,3.199544,150000,46881.680639491125,60,1
11,16,3000,2.794971,150000,53667.81980922163,60,0
11,16,3000,3.1994080000000005,150000,46883.673479593715,60,1
10,16,3000,3.151759,150000,47592.471378680915,60,0
10,16,3000,3.2002629999999996,150000,46871.147777542035,60,1
2,16,3000,2.870014,150000,52264.5534133283,110,0
2,16,3000,3.200083,150000,46873.784211222024,61,1
13,16,3000,3.107621,150000,48268.43427818257,61,0
13,16,3000,3.199921,150000,46876.15725513224,61,1
14,16,3000,2.685786,150000,55849.57252737188,60,0
14,16,3000,3.202759,150000,46834.61977626166,60,1
9,16,3000,3.459899,150000,43353.86668801604,61,0
9,16,3000,3.2003579999999996,150000,46869.75644599761,61,1
8,16,3000,2.916598,150000,51429.782232587415,60,0
8,16,3000,3.199716,150000,46879.160525496634,60,1
4,16,3000,3.223203,150000,46537.55906779685,60,0
4,16,3000,3.19632,150000,46928.968313560596,60,1
5,16,3000,2.952646,150000,50801.89091411568,60,0
5,16,3000,3.2069759999999996,150000,46773.034784170515,60,1
7,16,4000,4.262617,200000,46919.53323509947,60,0
7,16,4000,3.8452100000000007,200000,52012.76393226897,100,1
12,16,4000,4.583901,200000,43630.95974367684,60,0
12,16,4000,3.8448909999999996,200000,52017.079287813365,60,1
6,16,4000,3.72839,200000,53642.45693181239,60,0
6,16,4000,3.8546899999999997,200000,51884.84677107628,60,1
1,16,4000,4.373535,200000,45729.59859701591,61,0
1,16,4000,3.8587049999999987,200000,51830.86035340874,61,1
0,16,4000,3.919317,200000,51029.29923759676,60,0
0,16,4000,3.8298330000000003,200000,52221.59817412404,60,1
3,16,4000,3.814464,200000,52432.00617439305,60,0
3,16,4000,3.8447329999999997,200000,52019.21693912165,60,1
15,16,4000,3.638252,200000,54971.4533242887,60,0
15,16,4000,3.8491009999999997,200000,51960.1849886506,60,1
11,16,4000,3.908481,200000,51170.77452851888,60,0
11,16,4000,3.8449549999999997,200000,52016.21345373353,60,1
10,16,4000,4.231094,200000,47269.098724821524,60,0
10,16,4000,3.8452209999999996,200000,52012.61513967598,60,1
2,16,4000,4.16431,200000,48027.16416405118,110,0
2,16,4000,3.844052999999999,200000,52028.41896300599,61,1
13,16,4000,4.136687,200000,48347.86871716424,61,0
13,16,4000,3.8445929999999997,200000,52021.11120735017,61,1
14,16,4000,3.775905,200000,52967.43429720822,60,0
14,16,4000,3.8447200000000006,200000,52019.39282964689,60,1
9,16,4000,4.617438,200000,43314.06290674612,61,0
9,16,4000,3.844639000000001,200000,52020.488789714705,61,1
8,16,4000,4.063419,200000,49219.63499210887,60,0
8,16,4000,3.8461440000000007,200000,52000.133120340775,60,1
4,16,4000,4.415334,200000,45296.68650208569,60,0
4,16,4000,3.846133,200000,52000.28184152758,60,1
