id,shard_id,node,shard,batchsize,delay,tx,tps,total_tx,total_tps,send,round
7,1,16,4,1000,1.3635494709014893,4000,2933.520261172089,16000,11734.081044688355,290,0
7,1,16,4,1000,1.8859171867370605,4000,2120.983905407131,16000,8483.935621628523,330,1
7,1,16,4,1000,1.1682121753692627,4000,3424.0355342432817,16000,13696.142136973127,210,2
7,1,16,4,1000,1.319636583328247,4000,3031.1375499394126,16000,12124.55019975765,270,3
7,1,16,4,1000,2.111422061920166,4000,1894.4578027011457,16000,7577.831210804583,230,4
7,1,16,4,1000,1.1760714054107666,4000,3401.154029931473,16000,13604.616119725892,320,5
7,1,16,4,1000,1.9411141872406006,4000,2060.6721780165944,16000,8242.688712066378,280,6
12,3,16,4,1000,1.2761430740356445,4000,3134.444782394575,16000,12537.7791295783,290,0
12,3,16,4,1000,1.9505910873413086,4000,2050.6604515721815,16000,8202.641806288726,340,1
12,3,16,4,1000,1.2339253425598145,4000,3241.687209132023,16000,12966.748836528091,200,2
12,3,16,4,1000,1.49979829788208,4000,2667.025296433891,16000,10668.101185735564,270,3
12,3,16,4,1000,1.7040488719940186,4000,2347.3505166077425,16000,9389.40206643097,230,4
12,3,16,4,1000,1.9982993602752686,4000,2001.7020870431518,16000,8006.808348172607,330,5
12,3,16,4,1000,2.0387048721313477,4000,1962.0299410077105,16000,7848.119764030842,270,6
6,1,16,4,1000,1.7275700569152832,4000,2315.390906428608,16000,9261.563625714432,250,0
6,1,16,4,1000,1.8960704803466797,4000,2109.6262198379013,16000,8438.504879351605,290,1
6,1,16,4,1000,1.1825590133666992,4000,3382.495042350704,16000,13529.980169402816,240,2
6,1,16,4,1000,1.3247220516204834,4000,3019.501332454569,16000,12078.005329818276,260,3
6,1,16,4,1000,2.1143016815185547,4000,1891.8776043005748,16000,7567.510417202299,310,4
6,1,16,4,1000,1.1802411079406738,4000,3389.1380100963784,16000,13556.552040385513,260,5
6,1,16,4,1000,2.0163581371307373,4000,1983.7745717593455,16000,7935.098287037382,310,6
1,0,16,4,1000,1.6584398746490479,3000,1808.929009642178,12000,7235.716038568712,292,0
1,0,16,4,1000,1.4991569519042969,4000,2668.166261657273,16000,10672.665046629092,268,1
1,0,16,4,1000,1.7367701530456543,4000,2303.12571469833,16000,9212.50285879332,244,2
1,0,16,4,1000,1.3637676239013672,4000,2933.051005095055,16000,11732.20402038022,244,3
1,0,16,4,1000,1.4725756645202637,3000,2037.246759050131,12000,8148.987036200524,256,4
1,0,16,4,1000,1.9353771209716797,4000,2066.7806582273492,16000,8267.122632909397,244,5
1,0,16,4,1000,1.5158696174621582,4000,2638.7493712663286,16000,10554.997485065314,304,6
0,0,16,4,1000,1.934373378753662,3000,1550.8898297250828,12000,6203.559318900331,260,0
0,0,16,4,1000,1.4935154914855957,4000,2678.2447338535544,16000,10712.978935414218,290,1
0,0,16,4,1000,1.7175781726837158,4000,2328.860522109454,16000,9315.442088437816,280,2
0,0,16,4,1000,1.3788363933563232,4000,2900.996825492339,16000,11603.987301969357,280,3
0,0,16,4,1000,1.4686343669891357,3000,2042.7140120316908,12000,8170.856048126763,230,4
0,0,16,4,1000,1.934906005859375,4000,2067.2838824661294,16000,8269.135529864518,290,5
0,0,16,4,1000,1.5531494617462158,4000,2575.4121535108247,16000,10301.648614043299,310,6
3,0,16,4,1000,2.062760829925537,3000,1454.3615316315154,12000,5817.446126526062,320,0
3,0,16,4,1000,1.506230115890503,4000,2655.636716993371,16000,10622.546867973484,230,1
3,0,16,4,1000,1.7082185745239258,4000,2341.620715086057,16000,9366.482860344227,270,2
3,0,16,4,1000,1.3830103874206543,4000,2892.2414729365055,16000,11568.965891746022,190,3
3,0,16,4,1000,1.4401845932006836,3000,2083.0663056412536,12000,8332.265222565014,290,4
3,0,16,4,1000,1.9661362171173096,4000,2034.4470363628625,16000,8137.78814545145,220,5
3,0,16,4,1000,1.5178570747375488,4000,2635.294235915879,16000,10541.176943663517,340,6
15,3,16,4,1000,1.102553367614746,4000,3627.942299658078,16000,14511.769198632312,330,0
15,3,16,4,1000,1.922783613204956,4000,2080.3172923513084,16000,8321.269169405234,220,1
15,3,16,4,1000,1.2294771671295166,4000,3253.4154410845017,16000,13013.661764338007,270,2
15,3,16,4,1000,1.4947254657745361,4000,2676.07670544857,16000,10704.30682179428,210,3
15,3,16,4,1000,1.707245111465454,4000,2342.955896102409,16000,9371.823584409636,270,4
15,3,16,4,1000,2.0119807720184326,4000,1988.0905700640335,16000,7952.362280256134,220,5
15,3,16,4,1000,1.9997539520263672,4000,2000.2460782471599,16000,8000.984312988639,330,6
11,2,16,4,1000,1.519864797592163,4000,2631.8130443819587,16000,10527.252177527835,330,0
11,2,16,4,1000,2.0111732482910156,4000,1988.8888256638159,16000,7955.555302655263,220,1
11,2,16,4,1000,1.6036534309387207,4000,2494.3045191868823,16000,9977.21807674753,270,2
11,2,16,4,1000,1.6337482929229736,4000,2448.3575697230053,16000,9793.430278892021,200,3
11,2,16,4,1000,1.3825123310089111,4000,2893.2834161999367,16000,11573.133664799747,280,4
11,2,16,4,1000,1.6203584671020508,4000,2468.589562872373,16000,9874.358251489492,220,5
11,2,16,4,1000,1.7146081924438477,4000,2332.8944872815296,16000,9331.577949126118,340,6
10,2,16,4,1000,1.2555747032165527,4000,3185.7921235213894,16000,12743.168494085558,260,0
10,2,16,4,1000,1.927074909210205,4000,2075.6847494005124,16000,8302.73899760205,290,1
10,2,16,4,1000,1.5674512386322021,4000,2551.913515019773,16000,10207.654060079092,280,2
10,2,16,4,1000,1.5819873809814453,4000,2528.4651749361296,16000,10113.860699744519,290,3
10,2,16,4,1000,1.2838988304138184,4000,3115.510276390504,16000,12462.041105562015,220,4
10,2,16,4,1000,1.5708482265472412,4000,2546.394955540732,16000,10185.579822162928,290,5
10,2,16,4,1000,1.750178337097168,4000,2285.481379362956,16000,9141.925517451824,320,6
2,0,16,4,1000,1.643247127532959,3000,1825.6535792665356,12000,7302.614317066143,304,0
2,0,16,4,1000,1.511096715927124,4000,2647.084040246772,16000,10588.336160987088,316,1
2,0,16,4,1000,1.7000353336334229,4000,2352.892272804088,16000,9411.569091216352,220,2
2,0,16,4,1000,1.4087977409362793,4000,2839.3004075529125,16000,11357.20163021165,268,3
2,0,16,4,1000,1.4353766441345215,3000,2090.043761168267,12000,8360.175044673068,220,4
2,0,16,4,1000,2.010974168777466,4000,1989.0857188044963,16000,7956.342875217985,328,5
2,0,16,4,1000,1.5323162078857422,4000,2610.427259996888,16000,10441.709039987552,292,6
13,3,16,4,1000,1.064401388168335,4000,3757.980818573867,16000,15031.923274295468,244,0
13,3,16,4,1000,1.9414207935333252,4000,2060.3467384935775,16000,8241.38695397431,292,1
13,3,16,4,1000,1.2409465312957764,4000,3223.345969486102,16000,12893.383877944409,232,2
13,3,16,4,1000,1.4949941635131836,4000,2675.595729818865,16000,10702.38291927546,268,3
