id,node,batchsize,delay,tx,send,round
7,16,1000,1.3635494709014893,4000,290,0
7,16,1000,1.8859171867370605,8000,330,1
7,16,1000,1.1682121753692627,12000,210,2
7,16,1000,1.319636583328247,16000,270,3
7,16,1000,2.111422061920166,20000,230,4
7,16,1000,1.1760714054107666,24000,320,5
7,16,1000,1.9411141872406006,28000,280,6
12,16,1000,1.2761430740356445,4000,290,0
12,16,1000,1.9505910873413086,8000,340,1
12,16,1000,1.2339253425598145,12000,200,2
12,16,1000,1.49979829788208,16000,270,3
12,16,1000,1.7040488719940186,20000,230,4
12,16,1000,1.9982993602752686,24000,330,5
12,16,1000,2.0387048721313477,28000,270,6
6,16,1000,1.7275700569152832,4000,250,0
6,16,1000,1.8960704803466797,8000,290,1
6,16,1000,1.1825590133666992,12000,240,2
6,16,1000,1.3247220516204834,16000,260,3
6,16,1000,2.1143016815185547,20000,310,4
6,16,1000,1.1802411079406738,24000,260,5
6,16,1000,2.0163581371307373,28000,310,6
1,16,1000,1.6584398746490479,3000,292,0
1,16,1000,1.4991569519042969,7000,268,1
1,16,1000,1.7367701530456543,11000,244,2
1,16,1000,1.3637676239013672,15000,244,3
1,16,1000,1.4725756645202637,18000,256,4
1,16,1000,1.9353771209716797,22000,244,5
1,16,1000,1.5158696174621582,26000,304,6
0,16,1000,1.934373378753662,3000,260,0
0,16,1000,1.4935154914855957,7000,290,1
0,16,1000,1.7175781726837158,11000,280,2
0,16,1000,1.3788363933563232,15000,280,3
0,16,1000,1.4686343669891357,18000,230,4
0,16,1000,1.934906005859375,22000,290,5
0,16,1000,1.5531494617462158,26000,310,6
3,16,1000,2.062760829925537,3000,320,0
3,16,1000,1.506230115890503,7000,230,1
3,16,1000,1.7082185745239258,11000,270,2
3,16,1000,1.3830103874206543,15000,190,3
3,16,1000,1.4401845932006836,18000,290,4
3,16,1000,1.9661362171173096,22000,220,5
3,16,1000,1.5178570747375488,26000,340,6
15,16,1000,1.102553367614746,4000,330,0
15,16,1000,1.922783613204956,8000,220,1
15,16,1000,1.2294771671295166,12000,270,2
15,16,1000,1.4947254657745361,16000,210,3
15,16,1000,1.707245111465454,20000,270,4
15,16,1000,2.0119807720184326,24000,220,5
15,16,1000,1.9997539520263672,28000,330,6
11,16,1000,1.519864797592163,4000,330,0
11,16,1000,2.0111732482910156,8000,220,1
11,16,1000,1.6036534309387207,12000,270,2
11,16,1000,1.6337482929229736,16000,200,3
11,16,1000,1.3825123310089111,20000,280,4
11,16,1000,1.6203584671020508,24000,220,5
11,16,1000,1.7146081924438477,28000,340,6
10,16,1000,1.2555747032165527,4000,260,0
10,16,1000,1.927074909210205,8000,290,1
10,16,1000,1.5674512386322021,12000,280,2
10,16,1000,1.5819873809814453,16000,290,3
10,16,1000,1.2838988304138184,20000,220,4
10,16,1000,1.5708482265472412,24000,290,5
10,16,1000,1.750178337097168,28000,320,6
2,16,1000,1.643247127532959,3000,304,0
2,16,1000,1.511096715927124,7000,316,1
2,16,1000,1.7000353336334229,11000,220,2
2,16,1000,1.4087977409362793,15000,268,3
2,16,1000,1.4353766441345215,18000,220,4
2,16,1000,2.010974168777466,22000,328,5
2,16,1000,1.5323162078857422,26000,292,6
13,16,1000,1.064401388168335,4000,244,0
13,16,1000,1.9414207935333252,8000,292,1
13,16,1000,1.2409465312957764,12000,232,2
13,16,1000,1.4949941635131836,16000,268,3
13,16,1000,1.7014100551605225,20000,316,4
13,16,1000,2.0013954639434814,24000,256,5
13,16,1000,2.030296802520752,28000,316,6
14,16,1000,1.5799474716186523,4000,260,0
14,16,1000,1.9307396411895752,8000,290,1
14,16,1000,1.2460501194000244,12000,280,2
14,16,1000,1.447338342666626,16000,290,3
14,16,1000,1.7330143451690674,20000,230,4
14,16,1000,2.008378744125366,24000,280,5
14,16,1000,2.024678945541382,28000,310,6
9,16,1000,1.2176783084869385,4000,256,0
9,16,1000,2.009230613708496,8000,304,1
9,16,1000,1.6114444732666016,12000,268,2
9,16,1000,1.6325504779815674,16000,304,3
9,16,1000,1.3736670017242432,20000,244,4
9,16,1000,1.643178939819336,24000,232,5
9,16,1000,1.7320582866668701,28000,340,6
8,16,1000,1.7101693153381348,4000,290,0
