id,node,batchsize,delay,tx,tps,send,round
7,16,1000,19.75233745574951,16000,810.030713369709,5590,0
7,16,1000,15.745283603668213,16000,1016.1773139654623,4580,1
12,16,1000,19.99856996536255,16000,800.0572054757887,5590,0
12,16,1000,15.753594160079956,16000,1015.641245890696,4580,1
6,16,1000,19.93815541267395,16000,802.4814567264026,5590,0
6,16,1000,15.768887281417847,16000,1014.6562477400988,4580,1
1,16,1000,19.475531339645386,16000,821.5436960854354,5600,0
1,16,1000,15.79905915260315,16000,1012.7185325060159,4576,1
0,16,1000,19.886083841323853,16000,804.5827488040426,5590,0
0,16,1000,16.197223663330078,16000,987.823613019768,4580,1
3,16,1000,20.20129108428955,16000,792.0285853631962,5590,0
3,16,1000,15.592408418655396,16000,1026.1403864240078,4580,1
15,16,1000,19.213584184646606,16000,832.7441588324499,5590,0
15,16,1000,15.576870203018188,16000,1027.1639804060142,4580,1
11,16,1000,19.373626232147217,16000,825.8650088670927,5590,0
11,16,1000,15.732129335403442,16000,1017.0269808292094,4580,1
10,16,1000,19.714114904403687,16000,811.601234830277,5590,0
10,16,1000,15.748703002929688,16000,1015.9566789102292,4580,1
2,16,1000,19.17913556098938,16000,834.2398930921692,5600,0
2,16,1000,15.817830324172974,16000,1011.5167296711126,4576,1
13,16,1000,19.79229426383972,16000,808.39541827305,5600,0
13,16,1000,15.72731637954712,16000,1017.3382167607118,4576,1
14,16,1000,19.46081519126892,16000,822.1649423595774,5590,0
14,16,1000,15.773055791854858,16000,1014.3880939204142,4580,1
9,16,1000,19.169928789138794,16000,834.6405547977415,5600,0
9,16,1000,15.755642175674438,16000,1015.5092265742638,4576,1
8,16,1000,19.413204431533813,16000,824.1812966235714,5590,0
8,16,1000,15.748627185821533,16000,1015.9615699332052,4580,1
4,16,1000,19.797919988632202,16000,808.1657067604609,5590,0
4,16,1000,15.762468814849854,16000,1015.069415073251,4580,1
5,16,1000,19.415881156921387,16000,824.0676727822013,5590,0
5,16,1000,15.737499952316284,16000,1016.6799077667404,4580,1
7,16,2000,20.069663047790527,32000,1594.446300558239,5600,0
7,16,2000,16.09352731704712,32000,1988.377026961883,4570,1
12,16,2000,20.264928340911865,32000,1579.0828105420328,5600,0
12,16,2000,16.14308261871338,32000,1982.2731974935798,4570,1
6,16,2000,19.48595118522644,32000,1642.2087736862068,5600,0
6,16,2000,15.85570764541626,32000,2018.2006830361122,4570,1
1,16,2000,19.54543137550354,32000,1637.2112431402195,5600,0
1,16,2000,16.161733388900757,32000,1979.9856382964679,4576,1
0,16,2000,19.386446237564087,32000,1650.6377500996186,5600,0
0,16,2000,16.248095512390137,32000,1969.4615886273011,4570,1
3,16,2000,19.45717453956604,32000,1644.6375569550555,5600,0
3,16,2000,16.161665201187134,32000,1979.9939920577913,4570,1
15,16,2000,19.31594729423523,32000,1656.662213483585,5600,0
15,16,2000,15.914370059967041,32000,2010.761335787756,4570,1
11,16,2000,19.809552669525146,32000,1615.3822619744735,5600,0
11,16,2000,15.96757197380066,32000,2004.0617354037981,4570,1
10,16,2000,19.997040033340454,32000,1600.2368323835617,5600,0
10,16,2000,15.8203604221344,32000,2022.7099222865068,4570,1
2,16,2000,19.848506927490234,32000,1612.2119470699288,5600,0
2,16,2000,16.113505840301514,32000,1985.911713884433,4576,1
13,16,2000,20.015576601028442,32000,1598.7548416844395,5600,0
13,16,2000,16.263404846191406,32000,1967.6076628870135,4576,1
14,16,2000,19.910542964935303,32000,1607.1887168700314,5600,0
14,16,2000,16.089230060577393,32000,1988.9081006062522,4570,1
9,16,2000,19.474546194076538,32000,1643.1705099106885,5600,0
9,16,2000,15.855385780334473,32000,2018.2416526055006,4576,1
8,16,2000,19.723589420318604,32000,1622.4227405096274,5600,0
8,16,2000,15.884851932525635,32000,2014.4978458676835,4570,1
4,16,2000,20.21408438682556,32000,1583.05463594759,5600,0
4,16,2000,15.90887713432312,32000,2011.4555999028096,4570,1
5,16,2000,19.825375080108643,32000,1614.0930434202228,5600,0
5,16,2000,16.04791760444641,32000,1994.0281841385906,4570,1
7,16,3000,20.18353509902954,48000,2378.1760610562183,5590,0
7,16,3000,16.094186305999756,48000,2982.4434169813276,4580,1
12,16,3000,19.717350244522095,48000,2434.4041874153672,5590,0
12,16,3000,16.959646701812744,48000,2830.2476368726175,4580,1
6,16,3000,19.7666757106781,48000,2428.329411711351,5590,0
6,16,3000,16.06169295310974,48000,2988.4770017787328,4580,1
1,16,3000,19.634666919708252,48000,2444.6556794818916,5600,0
